,date,year,month,day,day_of_year,num_samples,depth,chla,secchi,tp,doc,ph,tkn,no2,no3,nh4,dic,temp,par,poc,srp,tdn,tn,lake
45701,1964-12-29,1964,12,29,364,51,,0.57,,,,,,,340.0,,,5.85,,,,,,Windermere -north basin
15955,1964-12-30,1964,12,30,365,46,,3.4,,,,,,,390.0,,,3.2,,,,,,Esthwaite water
15956,1965-01-04,1965,1,4,4,46,,3.7,,,,,,,550.0,,,2.0,,,,,,Esthwaite water
47562,1965-01-05,1965,1,5,5,47,,1.39,,,,,,,430.0,,,4.55,,,,,,Windermere -south basin
45702,1965-01-05,1965,1,5,5,47,,0.63,,,,,,,380.0,,,5.1,,,,,,Windermere -north basin
15957,1965-01-12,1965,1,12,12,46,,3.73,,,,,,,,,,4.3,,,,,,Esthwaite water
47563,1965-01-12,1965,1,12,12,47,,1.11,,,,,,,,,,5.05,,,,,,Windermere -south basin
6721,1965-01-12,1965,1,12,12,42,,0.9,,,,,,,470.0,,,5.1,,,,,,Belhalm tarn
45703,1965-01-12,1965,1,12,12,47,,0.45,,,,,,,,,,5.2,,,,,,Windermere -north basin
45704,1965-01-19,1965,1,19,19,47,,0.45,,,,,,,,,,4.7,,,,,,Windermere -north basin
15958,1965-01-19,1965,1,19,19,46,,3.97,,,,,,,,,,3.2,,,,,,Esthwaite water
47564,1965-01-19,1965,1,19,19,47,,1.2,,,,,,,,,,4.5,,,,,,Windermere -south basin
45705,1965-01-25,1965,1,25,25,47,,0.4,,,,,,,380.0,,,4.5,,,,,,Windermere -north basin
15959,1965-01-25,1965,1,25,25,46,,4.69,,,,,,,550.0,,,3.4,,,,,,Esthwaite water
47565,1965-01-25,1965,1,25,25,47,,1.29,,,,,,,420.0,,,4.05,,,,,,Windermere -south basin
45706,1965-02-02,1965,2,2,33,47,,0.36,,,,,,,,,,4.1,,,,,,Windermere -north basin
47566,1965-02-02,1965,2,2,33,47,,1.11,,,,,,,,,,3.65,,,,,,Windermere -south basin
24884,1965-02-04,1965,2,4,35,11,1.0,7.8,,,,,,,,,,,,,,,,Ullevifjärden S.
15960,1965-02-09,1965,2,9,40,46,,7.56,,,,,,,540.0,,,2.8,,,,,,Esthwaite water
47567,1965-02-09,1965,2,9,40,47,,1.2,,,,,,,450.0,,,3.8,,,,,,Windermere -south basin
45707,1965-02-09,1965,2,9,40,47,,0.45,,,,,,,410.0,,,4.0,,,,,,Windermere -north basin
6722,1965-02-09,1965,2,9,40,42,,1.3,,,,,,,490.0,,,3.2,,,,,,Belhalm tarn
47568,1965-02-16,1965,2,16,47,47,,1.39,,,,,,,450.0,,,4.1,,,,,,Windermere -south basin
45708,1965-02-16,1965,2,16,47,47,,0.69,,,,,,,410.0,,,4.0,,,,,,Windermere -north basin
6723,1965-02-16,1965,2,16,47,42,,2.4,,,,,,,500.0,,,3.6,,,,,,Belhalm tarn
